block,trial_number,dots_direction,response_key,response_correct,step,signal_prop
0,0,0.0,right,True,0,0.825
0,1,180.0,left,True,0,0.825
0,2,180.0,left,True,2,0.7749999999999999
0,3,180.0,left,True,4,0.7249999999999999
0,4,180.0,left,True,6,0.6749999999999998
0,5,0.0,right,True,8,0.6249999999999999
0,6,0.0,right,True,10,0.575
0,7,0.0,right,True,12,0.5249999999999999
0,8,0.0,right,True,14,0.4749999999999999
0,9,180.0,left,True,15,0.4499999999999999
0,10,180.0,left,True,16,0.42499999999999993
0,11,180.0,left,True,17,0.3999999999999999
0,12,0.0,right,True,18,0.37499999999999994
0,13,180.0,left,True,19,0.35
0,14,0.0,right,True,20,0.32499999999999996
0,15,0.0,right,True,21,0.29999999999999993
0,16,180.0,left,True,22,0.27499999999999997
0,17,180.0,left,True,23,0.24999999999999997
0,18,180.0,right,False,24,0.22499999999999998
0,19,180.0,left,True,23,0.24999999999999997
0,20,0.0,right,True,23,0.24999999999999997
0,21,0.0,right,True,24,0.22499999999999998
0,22,180.0,left,True,25,0.19999999999999998
0,23,0.0,right,True,26,0.175
0,24,0.0,left,False,26,0.175
0,25,0.0,right,True,25,0.19999999999999998
0,26,0.0,right,True,25,0.19999999999999998
0,27,0.0,left,False,26,0.175
0,28,0.0,right,True,25,0.19999999999999998
0,29,0.0,right,True,25,0.19999999999999998
0,30,180.0,left,True,26,0.175
0,31,0.0,left,False,26,0.175
0,32,0.0,right,True,25,0.19999999999999998
0,33,0.0,left,False,25,0.19999999999999998
0,34,0.0,right,True,24,0.22499999999999998
0,35,180.0,left,True,24,0.22499999999999998
0,36,0.0,right,True,25,0.19999999999999998
0,37,180.0,left,True,26,0.175
