block,trial_number,dots_direction,response_key,response_correct,step,signal_prop
0,0,180.0,left,True,0,0.825
0,1,0.0,right,True,0,0.825
0,2,0.0,right,True,3,0.7499999999999998
0,3,180.0,left,True,6,0.6749999999999998
0,4,180.0,left,True,9,0.5999999999999999
0,5,0.0,right,True,12,0.5249999999999999
0,6,180.0,left,True,15,0.4499999999999999
0,7,180.0,right,False,18,0.37499999999999994
0,8,0.0,right,True,17,0.3999999999999999
0,9,180.0,left,True,17,0.3999999999999999
0,10,180.0,left,True,20,0.32499999999999996
0,11,180.0,right,False,23,0.24999999999999997
0,12,0.0,right,True,22,0.27499999999999997
0,13,0.0,left,False,22,0.27499999999999997
0,14,0.0,right,True,21,0.29999999999999993
0,15,0.0,right,True,21,0.29999999999999993
0,16,0.0,right,True,22,0.27499999999999997
0,17,0.0,right,True,23,0.24999999999999997
0,18,0.0,left,False,24,0.22499999999999998
0,19,180.0,right,False,23,0.24999999999999997
0,20,180.0,left,True,22,0.27499999999999997
0,21,0.0,left,False,22,0.27499999999999997
0,22,0.0,right,True,21,0.29999999999999993
0,23,180.0,left,True,21,0.29999999999999993
0,24,180.0,right,False,22,0.27499999999999997
0,25,180.0,right,False,21,0.29999999999999993
0,26,0.0,right,True,20,0.32499999999999996
0,27,0.0,left,False,20,0.32499999999999996
0,28,0.0,right,True,19,0.35
0,29,0.0,left,False,19,0.35
0,30,180.0,left,True,18,0.37499999999999994
0,31,180.0,right,False,18,0.37499999999999994
