block,trial_number,dots_direction,response_key,response_correct,opposite_strenght,opposite_label,step,signal_prop
0,0,0.0,right,True,0.05,low,13,0.6000000000000001
0,1,0.0,right,True,0.05,low,13,0.6000000000000001
0,2,180.0,left,True,0.15,high,9,0.6000000000000001
0,3,0.0,right,True,0.05,low,15,0.55
0,4,0.0,right,True,0.15,high,9,0.6000000000000001
0,5,180.0,left,True,0.15,high,11,0.55
0,6,0.0,right,True,0.05,low,17,0.5
0,7,180.0,left,True,0.15,high,13,0.5
0,8,0.0,right,True,0.05,low,19,0.45000000000000007
0,9,180.0,left,True,0.15,high,15,0.45000000000000007
0,10,180.0,right,False,0.15,high,17,0.4
0,11,0.0,right,True,0.15,high,16,0.42500000000000004
0,12,180.0,left,True,0.05,low,21,0.4
0,13,180.0,right,False,0.05,low,23,0.35000000000000003
0,14,0.0,right,True,0.05,low,22,0.37500000000000006
0,15,0.0,right,True,0.15,high,16,0.42500000000000004
0,16,180.0,left,True,0.15,high,18,0.37500000000000006
0,17,180.0,left,True,0.05,low,22,0.37500000000000006
0,18,180.0,right,False,0.05,low,24,0.32500000000000007
0,19,0.0,right,True,0.05,low,23,0.35000000000000003
0,20,0.0,right,True,0.15,high,20,0.32500000000000007
0,21,180.0,left,True,0.15,high,22,0.275
0,22,0.0,right,True,0.05,low,23,0.35000000000000003
0,23,180.0,left,True,0.05,low,25,0.30000000000000004
0,24,180.0,right,False,0.15,high,23,0.25
0,25,0.0,right,True,0.15,high,22,0.275
0,26,180.0,left,True,0.15,high,22,0.275
0,27,0.0,right,True,0.05,low,27,0.25
0,28,180.0,left,True,0.15,high,23,0.25
0,29,0.0,right,True,0.15,high,24,0.225
0,30,180.0,left,True,0.15,high,25,0.2
0,31,180.0,right,False,0.05,low,28,0.225
0,32,180.0,left,True,0.05,low,27,0.25
0,33,0.0,right,True,0.15,high,26,0.17500000000000002
0,34,0.0,right,True,0.05,low,27,0.25
0,35,0.0,right,True,0.05,low,28,0.225
0,36,180.0,left,True,0.05,low,29,0.2
0,37,0.0,right,True,0.15,high,27,0.15
0,38,180.0,right,False,0.15,high,28,0.125
0,39,180.0,left,True,0.05,low,30,0.17500000000000002
0,40,180.0,right,False,0.15,high,27,0.15
0,41,0.0,right,True,0.15,high,26,0.17500000000000002
0,42,180.0,left,True,0.05,low,31,0.15
0,43,0.0,right,True,0.15,high,26,0.17500000000000002
0,44,0.0,right,True,0.05,low,32,0.125
0,45,0.0,left,False,0.15,high,27,0.15
0,46,180.0,right,False,0.05,low,33,0.1
0,47,180.0,left,True,0.05,low,32,0.125
0,48,180.0,right,False,0.05,low,32,0.125
0,49,0.0,left,False,0.15,high,26,0.17500000000000002
