block,trial_number,dots_direction,response_key,response_correct,opposite_strenght,opposite_label,step,signal_prop
0,0,0.0,left,False,0.15,high,3,0.7500000000000001
0,1,180.0,right,False,0.05,low,11,0.65
0,2,0.0,right,True,0.05,low,10,0.675
0,3,0.0,right,True,0.05,low,10,0.675
0,4,0.0,left,False,0.15,high,2,0.775
0,5,180.0,left,True,0.15,high,1,0.8
0,6,0.0,right,True,0.05,low,12,0.6250000000000001
0,7,180.0,left,True,0.05,low,14,0.5750000000000001
0,8,180.0,left,True,0.15,high,1,0.8
0,9,0.0,right,True,0.05,low,16,0.525
0,10,180.0,left,True,0.15,high,3,0.7500000000000001
0,11,0.0,right,True,0.05,low,18,0.47500000000000003
0,12,180.0,left,True,0.15,high,5,0.7000000000000001
0,13,0.0,right,True,0.15,high,7,0.65
0,14,0.0,right,True,0.05,low,20,0.42500000000000004
0,15,180.0,left,True,0.15,high,9,0.6000000000000001
0,16,180.0,left,True,0.05,low,22,0.37500000000000006
0,17,180.0,right,False,0.05,low,24,0.32500000000000007
0,18,0.0,right,True,0.05,low,23,0.35000000000000003
0,19,180.0,left,True,0.15,high,11,0.55
0,20,180.0,left,True,0.15,high,13,0.5
0,21,0.0,right,True,0.05,low,23,0.35000000000000003
0,22,0.0,right,True,0.15,high,15,0.45000000000000007
0,23,0.0,left,False,0.15,high,17,0.4
0,24,180.0,left,True,0.05,low,25,0.30000000000000004
0,25,180.0,right,False,0.15,high,16,0.42500000000000004
0,26,0.0,left,False,0.15,high,15,0.45000000000000007
0,27,0.0,left,False,0.05,low,27,0.25
0,28,0.0,left,False,0.15,high,14,0.47500000000000003
0,29,180.0,left,True,0.15,high,13,0.5
0,30,180.0,right,False,0.05,low,26,0.275
0,31,0.0,right,True,0.05,low,25,0.30000000000000004
0,32,180.0,left,True,0.15,high,13,0.5
0,33,0.0,right,True,0.05,low,25,0.30000000000000004
0,34,0.0,right,True,0.15,high,15,0.45000000000000007
0,35,180.0,left,True,0.15,high,17,0.4
0,36,0.0,right,True,0.15,high,19,0.35000000000000003
0,37,0.0,right,True,0.05,low,27,0.25
0,38,180.0,right,False,0.15,high,21,0.30000000000000004
0,39,0.0,right,True,0.15,high,20,0.32500000000000007
0,40,0.0,right,True,0.15,high,20,0.32500000000000007
0,41,0.0,right,True,0.05,low,28,0.225
0,42,180.0,right,False,0.05,low,29,0.2
0,43,180.0,right,False,0.15,high,22,0.275
0,44,0.0,right,True,0.05,low,28,0.225
0,45,0.0,right,True,0.15,high,21,0.30000000000000004
0,46,180.0,left,True,0.15,high,21,0.30000000000000004
0,47,0.0,right,True,0.05,low,28,0.225
0,48,0.0,right,True,0.15,high,23,0.25
0,49,0.0,right,True,0.15,high,24,0.225
0,50,180.0,left,True,0.05,low,29,0.2
0,51,180.0,right,False,0.05,low,30,0.17500000000000002
0,52,180.0,right,False,0.15,high,25,0.2
0,53,0.0,right,True,0.15,high,24,0.225
0,54,0.0,left,False,0.15,high,24,0.225
0,55,180.0,left,True,0.05,low,29,0.2
0,56,0.0,left,False,0.15,high,23,0.25
0,57,0.0,right,True,0.05,low,29,0.2
0,58,0.0,left,False,0.05,low,30,0.17500000000000002
0,59,180.0,right,False,0.15,high,22,0.275
0,60,0.0,right,True,0.15,high,21,0.30000000000000004
0,61,0.0,left,False,0.05,low,29,0.2
0,62,180.0,right,False,0.05,low,28,0.225
0,63,180.0,left,True,0.05,low,27,0.25
0,64,0.0,right,True,0.15,high,21,0.30000000000000004
0,65,0.0,left,False,0.05,low,27,0.25
0,66,180.0,left,True,0.15,high,23,0.25
0,67,0.0,right,True,0.05,low,26,0.275
0,68,180.0,left,True,0.15,high,24,0.225
0,69,180.0,left,True,0.05,low,26,0.275
0,70,0.0,right,True,0.15,high,25,0.2
0,71,180.0,left,True,0.05,low,27,0.25
0,72,0.0,right,True,0.15,high,26,0.17500000000000002
0,73,0.0,right,True,0.05,low,28,0.225
0,74,180.0,left,True,0.05,low,29,0.2
0,75,180.0,right,False,0.05,low,30,0.17500000000000002
0,76,180.0,left,True,0.15,high,27,0.15
0,77,0.0,right,True,0.05,low,29,0.2
0,78,180.0,left,True,0.05,low,29,0.2
0,79,180.0,left,True,0.05,low,30,0.17500000000000002
0,80,0.0,right,True,0.15,high,28,0.125
0,81,180.0,left,True,0.05,low,31,0.15
0,82,0.0,left,False,0.15,high,29,0.1
0,83,180.0,right,False,0.15,high,28,0.125
0,84,180.0,left,True,0.15,high,27,0.15
0,85,0.0,right,True,0.05,low,32,0.125
0,86,0.0,right,True,0.05,low,33,0.1
0,87,180.0,left,True,0.15,high,27,0.15
0,88,0.0,right,True,0.05,low,34,0.07500000000000001
0,89,180.0,left,True,0.05,low,35,0.05
0,90,0.0,left,False,0.05,low,36,0.025
0,91,180.0,right,False,0.15,high,28,0.125
0,92,0.0,left,False,0.15,high,27,0.15
0,93,0.0,left,False,0.05,low,35,0.05
0,94,180.0,right,False,0.05,low,34,0.07500000000000001
0,95,0.0,right,True,0.15,high,26,0.17500000000000002
