block,trial_number,dots_direction,response_key,response_correct,opposite_strenght,opposite_label,step,signal_prop
0,0,0.0,right,True,0.05,low,0,0.925
0,1,180.0,left,True,0.15,high,0,0.8250000000000001
0,2,0.0,right,True,0.05,low,0,0.925
0,3,0.0,right,True,0.15,high,0,0.8250000000000001
0,4,180.0,left,True,0.05,low,2,0.8750000000000001
0,5,0.0,right,True,0.15,high,2,0.775
0,6,0.0,,False,0.05,low,4,0.8250000000000001
0,7,180.0,left,True,0.15,high,4,0.7250000000000001
0,8,0.0,right,True,0.05,low,3,0.8500000000000001
0,9,180.0,left,True,0.15,high,6,0.675
0,10,180.0,left,True,0.05,low,3,0.8500000000000001
0,11,0.0,right,True,0.15,high,8,0.6250000000000001
0,12,180.0,left,True,0.05,low,5,0.8
0,13,0.0,right,True,0.15,high,10,0.5750000000000001
0,14,180.0,left,True,0.05,low,7,0.7500000000000001
0,15,0.0,right,True,0.15,high,12,0.525
0,16,0.0,right,True,0.05,low,9,0.7000000000000001
0,17,180.0,left,True,0.15,high,14,0.47500000000000003
0,18,180.0,left,True,0.05,low,11,0.65
0,19,0.0,right,True,0.15,high,16,0.42500000000000004
0,20,180.0,left,True,0.05,low,13,0.6000000000000001
0,21,180.0,right,False,0.15,high,18,0.37500000000000006
0,22,180.0,left,True,0.05,low,15,0.55
0,23,180.0,left,True,0.15,high,17,0.4
0,24,180.0,left,True,0.05,low,17,0.5
0,25,180.0,right,False,0.15,high,17,0.4
0,26,0.0,right,True,0.05,low,19,0.45000000000000007
0,27,0.0,right,True,0.15,high,16,0.42500000000000004
0,28,180.0,left,True,0.05,low,21,0.4
0,29,0.0,right,True,0.15,high,16,0.42500000000000004
0,30,180.0,left,True,0.05,low,23,0.35000000000000003
0,31,0.0,right,True,0.15,high,18,0.37500000000000006
0,32,0.0,right,True,0.05,low,25,0.30000000000000004
0,33,180.0,left,True,0.15,high,20,0.32500000000000007
0,34,180.0,left,True,0.05,low,27,0.25
0,35,0.0,right,True,0.15,high,22,0.275
0,36,180.0,left,True,0.05,low,28,0.225
0,37,0.0,left,False,0.15,high,23,0.25
0,38,0.0,right,True,0.05,low,29,0.2
0,39,0.0,left,False,0.15,high,22,0.275
0,40,180.0,right,False,0.05,low,30,0.17500000000000002
0,41,0.0,right,True,0.15,high,21,0.30000000000000004
0,42,0.0,right,True,0.05,low,29,0.2
0,43,0.0,right,True,0.15,high,21,0.30000000000000004
0,44,0.0,right,True,0.05,low,29,0.2
0,45,0.0,right,True,0.15,high,23,0.25
0,46,180.0,left,True,0.05,low,30,0.17500000000000002
0,47,0.0,right,True,0.15,high,24,0.225
0,48,0.0,right,True,0.05,low,31,0.15
0,49,180.0,right,False,0.15,high,25,0.2
0,50,0.0,right,True,0.05,low,32,0.125
0,51,0.0,right,True,0.15,high,24,0.225
0,52,180.0,left,True,0.05,low,33,0.1
0,53,0.0,right,True,0.15,high,24,0.225
0,54,0.0,left,False,0.05,low,34,0.07500000000000001
0,55,0.0,right,True,0.15,high,25,0.2
0,56,180.0,left,True,0.05,low,33,0.1
0,57,0.0,right,True,0.15,high,26,0.17500000000000002
0,58,0.0,left,False,0.05,low,33,0.1
0,59,0.0,left,False,0.15,high,27,0.15
0,60,180.0,left,True,0.05,low,32,0.125
0,61,180.0,right,False,0.15,high,26,0.17500000000000002
0,62,180.0,left,True,0.05,low,32,0.125
0,63,0.0,right,True,0.15,high,25,0.2
0,64,180.0,left,True,0.05,low,33,0.1
0,65,180.0,right,False,0.15,high,25,0.2
0,66,0.0,left,False,0.05,low,34,0.07500000000000001
0,67,180.0,right,False,0.15,high,24,0.225
0,68,180.0,left,True,0.05,low,33,0.1
0,69,0.0,right,True,0.15,high,23,0.25
0,70,180.0,left,True,0.05,low,33,0.1
0,71,0.0,right,True,0.15,high,23,0.25
0,72,0.0,left,False,0.05,low,34,0.07500000000000001
0,73,0.0,right,True,0.15,high,24,0.225
0,74,180.0,left,True,0.05,low,33,0.1
0,75,0.0,right,True,0.15,high,25,0.2
0,76,180.0,left,True,0.05,low,33,0.1
0,77,0.0,right,True,0.15,high,26,0.17500000000000002
0,78,0.0,left,False,0.05,low,34,0.07500000000000001
0,79,180.0,left,True,0.15,high,27,0.15
0,80,180.0,left,True,0.05,low,33,0.1
0,81,180.0,right,False,0.15,high,28,0.125
0,82,0.0,left,False,0.05,low,33,0.1
0,83,0.0,right,True,0.15,high,27,0.15
0,84,0.0,left,False,0.05,low,32,0.125
0,85,180.0,left,True,0.15,high,27,0.15
0,86,180.0,left,True,0.05,low,31,0.15
0,87,180.0,right,False,0.15,high,28,0.125
0,88,180.0,left,True,0.05,low,31,0.15
0,89,0.0,right,True,0.15,high,27,0.15
0,90,0.0,left,False,0.05,low,32,0.125
0,91,0.0,right,True,0.15,high,27,0.15
0,92,180.0,left,True,0.05,low,31,0.15
0,93,0.0,right,True,0.15,high,28,0.125
0,94,0.0,right,True,0.05,low,31,0.15
0,95,180.0,left,True,0.15,high,29,0.1
0,96,0.0,right,True,0.05,low,32,0.125
0,97,180.0,left,True,0.15,high,30,0.07500000000000001
0,98,0.0,right,True,0.05,low,33,0.1
0,99,0.0,left,False,0.15,high,31,0.05
0,100,180.0,right,False,0.05,low,34,0.07500000000000001
0,101,180.0,right,False,0.15,high,30,0.07500000000000001
0,102,0.0,left,False,0.05,low,33,0.1
0,103,180.0,right,False,0.15,high,29,0.1
0,104,180.0,left,True,0.05,low,32,0.125
