block,trial_number,dots_direction,response_key,response_correct,opposite_strenght,opposite_label,step,signal_prop
0,0,180.0,,False,0.05,low,0,0.925
0,1,0.0,,False,0.15,high,0,0.8250000000000001
0,2,180.0,,False,0.05,low,0,0.925
0,3,180.0,,False,0.15,high,0,0.8250000000000001
0,4,180.0,,False,0.05,low,0,0.925
0,5,0.0,,False,0.15,high,0,0.8250000000000001
0,6,180.0,,False,0.05,low,0,0.925
0,7,180.0,,False,0.15,high,0,0.8250000000000001
0,8,180.0,,False,0.05,low,0,0.925
0,9,0.0,,False,0.15,high,0,0.8250000000000001
0,10,0.0,,False,0.05,low,0,0.925
0,11,180.0,,False,0.15,high,0,0.8250000000000001
0,12,180.0,,False,0.05,low,0,0.925
0,13,180.0,,False,0.15,high,0,0.8250000000000001
0,14,180.0,,False,0.05,low,0,0.925
0,15,180.0,,False,0.15,high,0,0.8250000000000001
0,16,180.0,,False,0.05,low,0,0.925
0,17,0.0,,False,0.15,high,0,0.8250000000000001
0,18,180.0,,False,0.05,low,0,0.925
0,19,180.0,,False,0.15,high,0,0.8250000000000001
0,20,0.0,,False,0.05,low,0,0.925
0,21,0.0,,False,0.15,high,0,0.8250000000000001
0,22,180.0,,False,0.05,low,0,0.925
0,23,0.0,,False,0.15,high,0,0.8250000000000001
0,24,0.0,,False,0.05,low,0,0.925
0,25,0.0,,False,0.15,high,0,0.8250000000000001
0,26,0.0,,False,0.05,low,0,0.925
0,27,180.0,,False,0.15,high,0,0.8250000000000001
0,28,180.0,,False,0.05,low,0,0.925
0,29,0.0,,False,0.15,high,0,0.8250000000000001
0,30,180.0,,False,0.05,low,0,0.925
0,31,180.0,,False,0.15,high,0,0.8250000000000001
0,32,0.0,,False,0.05,low,0,0.925
0,33,180.0,,False,0.15,high,0,0.8250000000000001
0,34,0.0,,False,0.05,low,0,0.925
0,35,0.0,,False,0.15,high,0,0.8250000000000001
0,36,0.0,,False,0.05,low,0,0.925
0,37,180.0,,False,0.15,high,0,0.8250000000000001
0,38,0.0,,False,0.05,low,0,0.925
